PID,UNIT,BEEP,OCCASION,Happy,PA,NA
1,1,1,1,70,20,NA
1,1,2,2,64,14,NA
1,1,3,3,43,NA,7
1,2,1,4,28,NA,22
1,2,2,5,33,NA,17
1,2,3,6,46,NA,4
1,3,1,7,39,NA,11
1,3,2,8,NA,NA,NA
1,3,3,9,60,10,NA
1,4,1,10,63,13,NA
1,4,2,11,66,16,NA
1,4,3,12,68,18,NA
1,5,1,13,66,16,NA
1,5,2,14,69,19,NA
1,5,3,15,66,16,NA
1,6,1,16,19,NA,31
1,6,2,17,16,NA,34
1,6,3,18,35,NA,15
1,7,1,19,57,7,NA
1,7,2,20,42,NA,8
1,7,3,21,40,NA,10
1,8,1,22,67,17,NA
1,8,2,23,60,10,NA
1,8,3,24,62,12,NA
1,9,1,25,66,16,NA
1,9,2,26,59,9,NA
1,9,3,27,66,16,NA
1,10,1,28,75,25,NA
1,10,2,29,62,12,NA
1,10,3,30,69,19,NA
1,11,1,31,64,14,NA
1,11,2,32,74,24,NA
1,11,3,33,71,21,NA
1,12,1,34,64,14,NA
1,12,2,35,82,32,NA
1,12,3,36,73,23,NA
1,13,1,37,78,28,NA
1,13,2,38,83,33,NA
1,13,3,39,79,29,NA
1,14,1,40,73,23,NA
1,14,2,41,73,23,NA
1,14,3,42,76,26,NA
1,15,1,43,90,40,NA
1,15,2,44,85,35,NA
1,15,3,45,86,36,NA
1,16,1,46,79,29,NA
1,16,2,47,63,13,NA
1,16,3,48,79,29,NA
1,17,1,49,70,20,NA
1,17,2,50,87,37,NA
1,17,3,51,79,29,NA
1,18,1,52,81,31,NA
1,18,2,53,82,32,NA
1,18,3,54,65,15,NA
1,19,1,55,84,34,NA
1,19,2,56,81,31,NA
1,19,3,57,NA,NA,NA
1,20,1,58,NA,NA,NA
1,20,2,59,91,41,NA
1,20,3,60,81,31,NA
1,21,1,61,75,25,NA
1,21,2,62,88,38,NA
1,21,3,63,79,29,NA
1,22,1,64,80,30,NA
1,22,2,65,82,32,NA
1,22,3,66,83,33,NA
1,23,1,67,78,28,NA
1,23,2,68,78,28,NA
1,23,3,69,75,25,NA
1,24,1,70,42,NA,8
1,24,2,71,64,14,NA
1,24,3,72,62,12,NA
1,25,1,73,64,14,NA
1,25,2,74,67,17,NA
1,25,3,75,79,29,NA
1,26,1,76,NA,NA,NA
1,26,2,77,94,44,NA
1,26,3,78,70,20,NA
1,27,1,79,74,24,NA
1,27,2,80,72,22,NA
1,27,3,81,75,25,NA
1,28,1,82,81,31,NA
1,28,2,83,41,NA,9
1,28,3,84,41,NA,9
1,29,1,85,70,20,NA
1,29,2,86,NA,NA,NA
1,29,3,87,63,13,NA
2,1,1,1,100,50,NA
2,1,2,2,69,19,NA
2,1,3,3,100,50,NA
2,2,1,4,16,NA,34
2,2,2,5,15,NA,35
2,2,3,6,100,50,NA
2,3,1,7,100,50,NA
2,3,2,8,71,21,NA
2,3,3,9,100,50,NA
2,4,1,10,NA,NA,NA
2,4,2,11,NA,NA,NA
2,4,3,12,100,50,NA
2,5,1,13,54,4,NA
2,5,2,14,NA,NA,NA
2,5,3,15,100,50,NA
2,6,1,16,100,50,NA
2,6,2,17,100,50,NA
2,6,3,18,83,33,NA
2,7,1,19,63,13,NA
2,7,2,20,NA,NA,NA
2,7,3,21,100,50,NA
2,8,1,22,89,39,NA
2,8,2,23,90,40,NA
2,8,3,24,100,50,NA
2,9,1,25,100,50,NA
2,9,2,26,72,22,NA
2,9,3,27,95,45,NA
2,10,1,28,88,38,NA
2,10,2,29,56,6,NA
2,10,3,30,100,50,NA
2,11,1,31,100,50,NA
2,11,2,32,18,NA,32
2,11,3,33,NA,NA,NA
2,12,1,34,NA,NA,NA
2,12,2,35,100,50,NA
2,12,3,36,35,NA,15
2,13,1,37,97,47,NA
2,13,2,38,NA,NA,NA
2,13,3,39,100,50,NA
2,14,1,40,80,30,NA
